nohup: ignoring input
Writing to 0x81...
...done
.Writing to 0x8f...
...done
.Writing to 0x81...
...done
no bytes read
.Failed to transmit write packet
Failed to set the requested power mode: 02
{"motion": 1, "temperature": 0.00, "humidity": 0.00, "illuminance": 0}
{"motion": 0, "temperature": 21.40, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 71.10, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.10, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.10, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.10, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.40, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.10, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.40, "illuminance": 0}
{"motion": 0, "temperature": 21.30, "humidity": 71.10, "illuminance": 6}
{"motion": 0, "temperature": 21.30, "humidity": 71.40, "illuminance": 6}
{"motion": 0, "temperature": 21.30, "humidity": 71.10, "illuminance": 6}
{"motion": 0, "temperature": 21.40, "humidity": 71.10, "illuminance": 6}
{"motion": 0, "temperature": 21.40, "humidity": 71.10, "illuminance": 6}
{"motion": 0, "temperature": 21.40, "humidity": 71.10, "illuminance": 6}
{"motion": 0, "temperature": 21.40, "humidity": 71.10, "illuminance": 6}
{"motion": 0, "temperature": 21.30, "humidity": 71.10, "illuminance": 0}
{"motion": 0, "temperature": 21.10, "humidity": 71.10, "illuminance": 0}
{"motion": 0, "temperature": 21.00, "humidity": 71.10, "illuminance": 0}
{"motion": 0, "temperature": 21.10, "humidity": 71.10, "illuminance": 0}
{"motion": 0, "temperature": 21.10, "humidity": 70.80, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 70.80, "illuminance": 0}
{"motion": 0, "temperature": 21.10, "humidity": 70.80, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 70.80, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 70.80, "illuminance": 0}
{"motion": 0, "temperature": 21.10, "humidity": 70.80, "illuminance": 0}
{"motion": 0, "temperature": 21.10, "humidity": 70.80, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 71.10, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 70.80, "illuminance": 0}
{"motion": 0, "temperature": 21.20, "humidity": 70.80, "illuminance": 0}
{"motion": 1, "temperature": 21.20, "humidity": 70.80, "illuminance": 0}
{"motion": 1, "temperature": 21.20, "humidity": 70.80, "illuminance": 0}
{"motion": 1, "temperature": 21.20, "humidity": 70.40, "illuminance": 0}
{"motion": 1, "temperature": 21.20, "humidity": 70.80, "illuminance": 0}
{"motion": 1, "temperature": 21.20, "humidity": 70.80, "illuminance": 0}
{"motion": 1, "temperature": 21.20, "humidity": 70.40, "illuminance": 0}
{"motion": 1, "temperature": 21.20, "humidity": 70.80, "illuminance": 0}
